candidate,rmse_mg_L,interpretability_cost,optional_keep_probability
1,4.223155539073432,27.789687396772983,0.7876912579746521
2,3.7624730718829746,25.783257268412576,0.6347052548632468
3,4.201661368953677,18.82966300778616,0.29968498737742716
4,5.985413892151358,16.819142561627327,0.21591421857249793
5,6.125109226866943,10.811620693440599,0.06645094305291938
6,6.664801705103958,11.842388636121155,0.1404621626443141
7,4.090909170924216,24.790005054582316,0.5241333296708728
8,2.935877647651135,36.78714538341823,0.9511852819127191
9,3.9147318437132763,25.846499708339117,0.5843282011064987
10,4.67954552525164,21.819300401596557,0.3858356623341628
11,4.853610217328079,31.80357172488939,0.8675732659883508
12,3.7174372860666103,28.81149389767576,0.6844197423807564
13,3.0095748644113645,35.814121829893324,0.9776311915165968
14,3.3340517168000816,32.80548119449894,0.8372244992800076
15,5.886606721568379,22.839718288624766,0.6012142499398191
16,3.5941290388367113,25.808251206570034,0.4314745095292477
17,5.2159686890726515,12.849258527071324,0.06969340927778803
18,3.8917820546715323,25.85456769252507,0.6633460098453302
19,5.688999854945832,23.839892072373313,0.4975753918721011
20,6.1011643162031355,15.903152802669569,0.19746958400826126
21,5.646426753089301,12.809325787566175,0.08130711800319883
22,3.4473894543892154,36.724595257241646,0.985714087609697
23,3.436140380995783,31.81821572780815,0.8509003785291545
24,3.48640421841123,27.81368444366538,0.6066202667845918
25,3.7444021805503938,33.796412298709825,0.8946647409719448
26,4.520691042698943,21.803964459720916,0.26890404440228566
27,7.042314167908065,24.84101033790404,0.6153576757173742
28,6.128547736727626,11.821005195207636,0.09103586442372813
29,3.6261467464935064,30.78983120034313,0.740721517344548
30,3.2722093653404527,31.795568575581882,0.8671262690976522
31,5.67972602142674,14.776385049288594,0.09032461354255444
32,4.058503009290119,22.7669147312991,0.591732497863888
33,3.6026444002788285,23.75975744846483,0.3732433920667194
34,4.221747239928695,24.843022959376913,0.6299754681576896
35,3.266258578117114,29.80428570906796,0.6445053566410327
36,3.072781166636699,35.80934217993343,0.9537435881258434
37,4.170317207636161,23.79348091913821,0.6016868105643528
38,4.502883761064979,18.81906299831393,0.35820722678798117
39,6.080258747192318,13.79256187355073,0.11135392035567715
40,3.2123154776402205,34.78288818928124,0.9144119884108012
41,2.9771863455866496,35.78686590641403,0.8740153046921117
42,4.922267709652503,19.82556975626024,0.14431898699571155
43,3.308110093299637,32.788980791834305,0.8090297104672772
44,5.534889346458146,15.807505997079403,0.28567410903173857
45,3.026694881538652,34.82776543171504,0.8718282485123134
46,4.451749405331465,24.781230352857175,0.6114557658906699
47,3.815964994180349,28.826227857563055,0.647311652644686
48,5.663885386240333,15.835726229767646,0.3080544386512596
49,4.958774176648193,28.79482013855143,0.53109598558075
50,4.579987089126753,24.780926531970348,0.4727296779720348
51,3.496944337944157,29.81356190007696,0.7841972818136586
52,6.168744039793527,10.803549149535598,0.07084043738421242
53,4.502008231892245,21.850145504425512,0.3865892456758657
54,4.931361113329144,16.81198032079517,0.2776486672316709
55,3.6203556789776195,27.822344345289423,0.6530820891887825
56,5.770765417008375,25.8080036999212,0.39682849607683496
57,3.884272719985636,23.823909263140877,0.5662147172895028
58,3.757395828375938,31.78101510246578,0.6540541060051346
59,6.0338868986518595,10.790761808386211,0.2299093821883652
60,4.062242834365579,31.819840199850212,0.8900467957726029
61,5.101045080638213,17.791914223357356,0.31247258317721865
62,4.338789436766959,19.804332390774285,0.355996105939117
63,2.9388807629144917,35.8295295617464,0.9769741235344084
64,4.086580566391198,26.793096584168325,0.43884734600150727
