population_index,train_rmse_mg_L,interpretability_cost,is_knee
19,3.4035455632415084,22.456288767620745,False
11,3.4901385791593147,19.483852051449045,False
14,3.5479531032493825,19.419772795449187,False
12,3.551719401189514,18.493039240065936,False
22,3.595774170094771,18.44008550189483,False
6,3.6072261220439352,17.440751570147945,False
15,3.674775538580851,17.42837961398436,False
21,3.7139198632563324,15.437630008134295,False
2,3.7528451334328006,15.416976229286364,False
4,3.7883440216260835,15.410429037528136,False
18,3.866953748051444,14.443839040905779,False
10,3.878933155177228,14.440747572212274,False
0,3.955987277130359,14.390880875876148,False
7,4.114572514624993,14.362099890165146,False
8,4.206071237477101,13.462053473606634,False
16,4.231887665846401,13.393121718465766,False
9,4.251507641495572,13.358491070439976,False
1,4.254916568220502,12.42021551552412,False
3,4.312039987001113,11.37957037714919,True
17,4.5636328349505835,10.357793723438503,False
5,4.788396054570344,10.341639898170513,False
20,5.012460847351888,10.294802549156078,False
13,5.690183963228953,9.294247224444774,False
